      Input: P
info: HeatingDaemon.HeatingAdapter[0]
      Passive Elster Telegrams:
        184x  Boiler ->RespondSystem on RemoteControl INITIALISIERUNG 1
        184x  Manager ->RespondSystem on FES_COMFORT INITIALISIERUNG 1
        184x  FES_COMFORT ->System on Manager INITIALISIERUNG 1
        184x  Manager ->Write on FES_COMFORT SOLAR_KOLLEKTOR_3_I_ANTEIL 0 (0x0000)
        184x  Manager ->Write on FES_COMFORT FATAL_ERROR 0 (0x0000)
        184x  HeatingModule ->Respond on Manager TEST_OBJEKT_215 100 (0x0064)
        183x  HeatingModule ->RespondSystem on Manager INITIALISIERUNG 1
        183x  Manager ->Write on HeatingModule_Broadcast ACCESS_EEPROM 1
        183x  Manager ->Write on HeatingModule_Broadcast GERAETEKONFIGURATION 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast ANFAHRENT 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast SAMMEL_RELAISSTATUS 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast PROGRAMMSCHALTER Absenkbetrieb
        183x  Manager ->Write on HeatingModule_Broadcast ZWISCHENEINSPRITZUNG_ISTTEMP 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast LUEFT_PASSIVKUEHLUNG_UEBER_FORTLUEFTER 0 (0x0000)
        183x  Manager ->Write on HeatingModule_Broadcast TAG 1
        183x  Manager ->Write on HeatingModule_Broadcast MONAT 2
        183x  Manager ->Write on HeatingModule_Broadcast JAHR 25
        183x  Manager ->Write on HeatingModule QUELLENPUMPEN_STATUS 0 (0x0000)
        183x  Manager ->Write on HeatingModule TEMPORALE_LUEFTUNGSSTUFE_DAUER 0 (0x0000)
        183x  Manager ->Write on HeatingModule GERAETE_ID 128-00
        183x  Manager ->Write on HeatingModule SOFTWARE_NUMMER 331 (0x014B)
        183x  Manager ->Write on HeatingModule SOFTWARE_VERSION 2 (0x0002)
        183x  HeatingModule ->Respond on Manager HARDWARE_NUMMER -32768 (0x8000)
        183x  HeatingModule ->Write on Manager FEHLERMELDUNG 0 (0x0000)
        183x  HeatingModule ->Write on Manager SOLAR_KOLLEKTOR_3_I_ANTEIL 0 (0x0000)
        183x  HeatingModule ->Write on Manager GERAETE_ID 67-16
        183x  HeatingModule ->Write on Manager SPEICHER_STATUS -127
        183x  HeatingModule ->Write on Manager STUETZSTELLE_ND1 100 (0x0064)
        183x  HeatingModule ->Write on Manager STUETZSTELLE_ND2 1700 (0x06A4)
        183x  HeatingModule ->Write on Manager STUETZSTELLE_HD1 100 (0x0064)
        183x  HeatingModule ->Write on Manager STUETZSTELLE_HD2 3100 (0x0C1C)
        183x  HeatingModule ->Write on Manager FATAL_ERROR 0 (0x0000)
        183x  HeatingModule ->Write on Manager K_OS_RMX_RESERVE_INFO3 1 (0x0001)
        183x  HeatingModule ->Write on Manager FEHLER_PARAMETERSATZ_IWS 0 (0x0000)
        183x  HeatingModule ->Respond on Manager SOFTWARE_VERSION 16 (0x0010)
        160x  RemoteControl ->RespondSystem on RemoteControl BUSKONFIGURATION 256 (0x0100)
        92x  Boiler ->System on RemoteControl_Broadcast INITIALISIERUNG 1
        92x  Manager ->System on HeatingModule_Broadcast INITIALISIERUNG 1
        92x  Boiler ->System on Mixer3 INITIALISIERUNG 1
        91x  Manager ->RespondSystem on HeatingModule INITIALISIERUNG 1
        64x  Boiler ->Respond on FES_COMFORT SOFTWARE_VERSION 2 (0x0002)
        11x  Manager ->Write on FES_COMFORT STUNDE 11
        3x  Manager ->Write on HeatingModule LAUFZEIT_VERD_BEI_SPEICHERBEDARF 1 (0x0001)
        2x  HeatingModule ->Write on Manager ANFORDERUNG_LEISTUNGSZWANG 0 (0x0000)


